               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046497,            0.019344,                   0,             0.75178,             0.72222,             0.77942,             0.34031,            0.038775,           0.0095239,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.038131,            0.017589,                   0,             0.60975,             0.66667,             0.64771,             0.25042,            0.046538,           0.0085143,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.041927,            0.017283,                   0,             0.60975,             0.66667,             0.64771,             0.25042,            0.046538,           0.0085143,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.044086,             0.01612,                   0,             0.53235,             0.55556,             0.65129,             0.31222,              0.0444,           0.0082718,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.045219,            0.015672,                   0,             0.73997,             0.44444,             0.60819,             0.20761,            0.041626,           0.0081796,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.042238,            0.013476,                   0,             0.65271,                 0.5,             0.57355,             0.28979,            0.047449,           0.0076456,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.043315,            0.015544,                   0,             0.65271,                 0.5,             0.57355,             0.28979,            0.047449,           0.0076456,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.050531,            0.014339,                   0,             0.61583,             0.44444,             0.63019,             0.37533,            0.038577,           0.0078052,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.040942,            0.017643,                   0,              0.4581,                 0.5,             0.46951,             0.18334,            0.045844,           0.0079251,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.043205,            0.017193,                   0,             0.63853,                 0.5,              0.6339,             0.34864,            0.036834,            0.008049,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.040138,            0.017233,                   0,             0.63853,                 0.5,              0.6339,             0.34864,            0.036834,            0.008049,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.032106,            0.014852,                   0,              0.7585,             0.55556,             0.64839,             0.38859,             0.03431,            0.008024,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.041851,            0.014438,                   0,             0.89863,             0.55556,             0.68822,             0.38317,            0.038886,           0.0078088,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.042726,             0.01453,                   0,             0.87997,             0.55556,             0.69863,             0.34238,            0.037364,           0.0076747,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.036436,            0.018103,                   0,             0.87997,             0.55556,             0.69863,             0.34238,            0.037364,           0.0076747,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.03135,            0.017346,                   0,             0.84615,              0.6111,             0.73361,             0.42096,            0.037874,           0.0074016,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.034145,            0.012219,                   0,             0.83342,             0.61111,             0.74505,             0.46483,            0.037468,           0.0072681,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.030344,            0.014377,                   0,             0.92736,             0.61111,             0.82992,              0.4377,            0.041375,           0.0069502,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.034459,            0.012341,                   0,             0.92736,             0.61111,             0.82992,              0.4377,            0.041375,           0.0069502,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.039212,            0.013291,                   0,              0.7736,             0.76002,             0.87819,             0.53511,            0.032729,           0.0069012,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.036033,            0.012665,                   0,             0.49556,             0.83333,             0.64843,             0.36312,            0.034154,           0.0067014,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.042414,            0.012478,                   0,             0.71786,             0.72222,             0.80172,             0.44449,            0.030975,           0.0065813,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.039841,            0.013984,                   0,             0.71786,             0.72222,             0.80172,             0.44449,            0.030975,           0.0065813,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.034723,             0.01578,                   0,             0.90803,             0.72222,             0.90958,              0.5488,            0.028924,           0.0064767,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.029919,            0.011804,                   0,             0.67625,             0.94444,             0.88032,              0.5116,            0.034558,           0.0061818,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.030987,            0.011941,                   0,             0.93335,             0.77799,             0.95202,              0.6013,            0.032389,           0.0062041,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.039111,            0.018965,                   0,             0.93335,             0.77799,             0.95202,              0.6013,            0.032389,           0.0062041,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.03368,            0.015656,                   0,             0.88304,             0.83333,             0.96804,             0.60674,            0.029872,           0.0061993,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.029835,            0.012199,                   0,             0.92159,             0.88889,             0.97324,             0.58761,            0.029736,           0.0061749,                   0,            0.003565,            0.003565,            0.003565
